frame.number	frame.time	tcp.analysis.ack_rtt
1	May 19, 2016 13:16:36.646391000	
2	May 19, 2016 13:16:45.170639000	
3	May 19, 2016 13:16:45.341709000	
4	May 19, 2016 13:16:45.511990000	
5	May 19, 2016 13:16:51.498250000	
6	May 19, 2016 13:16:51.498251000	
7	May 19, 2016 13:16:51.503376000	0.005125000
8	May 19, 2016 13:16:52.090349000	0.586973000
9	May 19, 2016 13:16:52.096421000	
10	May 19, 2016 13:16:52.126909000	
11	May 19, 2016 13:16:52.127105000	
12	May 19, 2016 13:16:52.127157000	
13	May 19, 2016 13:16:52.127354000	
14	May 19, 2016 13:16:52.127457000	
15	May 19, 2016 13:16:52.127909000	
16	May 19, 2016 13:16:52.128564000	
17	May 19, 2016 13:16:52.128590000	
18	May 19, 2016 13:16:52.128758000	
19	May 19, 2016 13:16:52.128826000	
20	May 19, 2016 13:16:52.132421000	0.005512000
21	May 19, 2016 13:16:52.133343000	0.006238000
22	May 19, 2016 13:16:52.133409000	0.006252000
23	May 19, 2016 13:16:52.133451000	0.006097000
24	May 19, 2016 13:16:52.133453000	0.005996000
25	May 19, 2016 13:16:52.134957000	0.007048000
26	May 19, 2016 13:16:52.135160000	0.006596000
27	May 19, 2016 13:16:52.135207000	0.006617000
28	May 19, 2016 13:16:52.135208000	0.006382000
29	May 19, 2016 13:16:52.164772000	
30	May 19, 2016 13:16:52.164871000	
31	May 19, 2016 13:16:52.164914000	
32	May 19, 2016 13:16:52.165187000	
33	May 19, 2016 13:16:52.165188000	
34	May 19, 2016 13:16:52.165696000	
35	May 19, 2016 13:16:52.165811000	
36	May 19, 2016 13:16:52.168431000	
37	May 19, 2016 13:16:52.168459000	
38	May 19, 2016 13:16:52.169114000	
39	May 19, 2016 13:16:52.169115000	
40	May 19, 2016 13:16:52.169366000	
41	May 19, 2016 13:16:52.169430000	
42	May 19, 2016 13:16:52.170280000	0.005508000
43	May 19, 2016 13:16:52.170285000	
44	May 19, 2016 13:16:52.170453000	0.005582000
45	May 19, 2016 13:16:52.170456000	
46	May 19, 2016 13:16:52.170545000	0.005631000
47	May 19, 2016 13:16:52.170548000	0.005361000
48	May 19, 2016 13:16:52.170549000	0.005361000
49	May 19, 2016 13:16:52.171018000	0.005322000
50	May 19, 2016 13:16:52.171072000	0.005261000
51	May 19, 2016 13:16:52.174398000	0.005967000
52	May 19, 2016 13:16:52.174405000	0.005946000
53	May 19, 2016 13:16:52.174406000	0.005292000
54	May 19, 2016 13:16:52.174408000	0.005293000
55	May 19, 2016 13:16:52.174391000	
56	May 19, 2016 13:16:52.174605000	0.005239000
57	May 19, 2016 13:16:52.174392000	
58	May 19, 2016 13:16:52.174613000	0.005183000
59	May 19, 2016 13:16:52.174714000	
60	May 19, 2016 13:16:52.174731000	
61	May 19, 2016 13:16:52.175769000	
62	May 19, 2016 13:16:52.175909000	0.005624000
63	May 19, 2016 13:16:52.175944000	0.005488000
64	May 19, 2016 13:16:52.179692000	0.005301000
65	May 19, 2016 13:16:52.179719000	0.005327000
66	May 19, 2016 13:16:52.179816000	0.005102000
67	May 19, 2016 13:16:52.181086000	0.005317000
68	May 19, 2016 13:16:52.198182000	
69	May 19, 2016 13:16:52.198184000	
70	May 19, 2016 13:16:52.213271000	0.015089000
71	May 19, 2016 13:16:52.213376000	0.015192000
72	May 19, 2016 13:16:52.213556000	
73	May 19, 2016 13:16:52.213557000	
74	May 19, 2016 13:16:52.214162000	
75	May 19, 2016 13:16:52.214164000	
76	May 19, 2016 13:16:52.214819000	
77	May 19, 2016 13:16:52.214929000	
78	May 19, 2016 13:16:52.214976000	
79	May 19, 2016 13:16:52.215184000	
80	May 19, 2016 13:16:52.215185000	
81	May 19, 2016 13:16:52.215350000	
82	May 19, 2016 13:16:52.215422000	
83	May 19, 2016 13:16:52.217177000	
84	May 19, 2016 13:16:52.217313000	
85	May 19, 2016 13:16:52.217390000	
86	May 19, 2016 13:16:52.219262000	0.005706000
87	May 19, 2016 13:16:52.219272000	
88	May 19, 2016 13:16:52.219379000	0.005822000
89	May 19, 2016 13:16:52.220214000	
90	May 19, 2016 13:16:52.220212000	
91	May 19, 2016 13:16:52.220362000	
92	May 19, 2016 13:16:52.220360000	
93	May 19, 2016 13:16:52.220483000	
94	May 19, 2016 13:16:52.220486000	
95	May 19, 2016 13:16:52.220487000	
96	May 19, 2016 13:16:52.220488000	
97	May 19, 2016 13:16:52.220490000	
98	May 19, 2016 13:16:52.220491000	
99	May 19, 2016 13:16:52.220493000	
100	May 19, 2016 13:16:52.220480000	
101	May 19, 2016 13:16:52.220481000	
102	May 19, 2016 13:16:52.220879000	
103	May 19, 2016 13:16:52.220880000	
